Country,Year,MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand)
Croatia,2019,1209780.7,3671310.1,0
Haiti,2019,35138.77,1350049.89,0
Hungary,2019,8685102.46,23048996.05,0
Indonesia,2019,28892741.81,187750258.3,0
India,2019,60411153.49,320295104.4,0
British Indian Ocean Ter.,2019,75960.08,82418.63,0
Ireland,2019,55865329.02,82530379.88,0
"Iran, Islamic Rep.",2019,24343174.04,38101429.88,0
Iraq,2019,94347544.29,98652235.92,0
Iceland,2019,409643.24,7595435,0
Israel,2019,17148381.33,61149318.71,0
Italy,2019,60789987.39,212190172.4,0
Jamaica,2019,343863.57,1642477.47,0
Jordan,2019,989905.43,6390824.94,0
Japan,2019,247073819.8,735735207.5,0
Kazakhstan,2019,45607504.87,64502372.83,0
Kenya,2019,2143366.59,6567790.27,0
Kyrgyz Republic,2019,1694045.32,2572731.33,0
Cambodia,2019,1011620.45,31790360.85,0
Kiribati,2019,377.81,29801.1,0
St. Kitts and Nevis,2019,5666.39,73945.96,0
"Korea, Rep.",2019,146278505.5,620469826.4,0
Kuwait,2019,41850703.38,54738925.23,0
Lao PDR,2019,370779.42,3383959.02,0
Lebanon,2019,1644205.05,3682787.38,0
Liberia,2019,367773.57,2041290.74,0
Libya,2019,43102919.21,44839829.3,0
St. Lucia,2019,59190.69,84275.98,0
Sri Lanka,2019,1430366.53,15112377.29,0
Lesotho,2019,35178.86,1506374.65,0
Lithuania,2019,1910982.16,7120528.03,0
Luxembourg,2019,454942.1,2930923.08,0
Latvia,2019,671686.35,3049902.49,0
Macao,2019,371962.36,1680994.18,0
Morocco,2019,10352594.89,48784685.31,0
Moldova,2019,844921.65,5353354.23,0
Madagascar,2019,324702.4,4559965.36,0
Maldives,2019,4992.46,459695.63,0
Mexico,2019,223618771.2,495053579.3,0
Marshall Islands,2019,15367.14,1604557.92,0
North Macedonia,2019,1839898.06,13787266.96,0
Mali,2019,2704003.38,2964961.55,0
Malta,2019,725409.29,1798831.13,0
Myanmar,2019,2174209.83,17369886.68,0
Mongolia,2019,1253790.75,7264402.05,0
Northern Mariana Islands,2019,365.37,1228.57,0
Montenegro,2019,178308.25,539088.88,0
Mozambique,2019,1082874.08,7508834.74,0
Mauritania,2019,662594.12,3111318.33,0
Montserrat,2019,1581.3,9965.11,0
Mauritius,2019,668182.05,3153611.16,0
Malawi,2019,1104358.66,1405516.97,0
Malaysia,2019,129120926.8,319826378.7,0
Namibia,2019,1192899.64,5729363.39,0
New Caledonia,2019,4881.08,1773274.78,0
Niger,2019,323538.59,688513.09,0
Norfolk Island,2019,149.64,2899.25,0
Nigeria,2019,63565919.66,77754497.4,0
Nicaragua,2019,1161370.47,6061209.35,0
Niue,2019,880.46,60985.64,0
Netherlands,2019,28840669.65,94165831.15,0
Norway,2019,85753661.02,164932041.1,0
Nepal,2019,141811.97,1006150.71,0
Nauru,2019,5092.67,23148.4,0
New Zealand,2019,10117262.94,37001563.47,0
"Other Asia, nes",2019,147936046.7,452720598.7,0
Oman,2019,23378247.59,34883425.89,0
Pakistan,2019,5869898.72,33067206.62,0
Panama,2019,1161369.82,4794932.86,0
Pitcairn,2019,482.27,2583.62,0
Peru,2019,13615300.87,51027869.04,0
Philippines,2019,28628399.19,90642679.28,0
Palau,2019,4400.68,19538.62,0
Papua New Guinea,2019,3104359.61,11625310.28,0
Poland,2019,12199274.76,43413990.47,0
"Korea, Dem. Rep.",2019,53604.44,290584.9,0
Portugal,2019,4198160.12,18161392.12,0
Paraguay,2019,2544695.14,6704536.12,0
Occ.Pal.Terr,2019,31703.01,98314.62,0
French Polynesia,2019,21083.34,183739.78,0
Qatar,2019,13603185.3,62358902.76,0
Romania,2019,3471370.22,17286806.75,0
Russian Federation,2019,247693838.7,482937809.6,0
Rwanda,2019,868352.1,1357813.82,0
Saudi Arabia,2019,153460953,223331507,0
Senegal,2019,1334055.65,4292921.25,0
"Serbia, FR",2019,8241030.73,31837664.56,0
Singapore,2019,67951929.61,226269836.5,0
South Georgia and the South Sa,2019,494.86,706.89,0
Saint Helena,2019,2448.28,24139.36,0
Solomon Islands,2019,6650.37,921258.49,0
Sierra Leone,2019,19924.45,1038970.37,0
El Salvador,2019,783507.44,3953568.94,0
San Marino,2019,43483.86,222246.99,0
Somalia,2019,245380.81,414695.18,0
Special Categories,2019,69651270.11,75261992.34,0
Saint Pierre and Miquelon,2019,5921.28,8370.69,0
South Sudan,2019,1710073.96,1760692.11,0
Sao Tome and Principe,2019,4113.5,32583.51,0
Sudan,2019,2069814.42,3228436.06,0
Suriname,2019,1783909.43,2188656.99,0
Slovak Republic,2019,11706513.3,18629274.53,0
Slovenia,2019,2371481.52,6544731.09,0
Sweden,2019,19358568.13,53375754.98,0
Eswatini,2019,1217042.88,1725525.85,0
Saint Maarten (Dutch part),2019,15959.19,28003.25,0
Seychelles,2019,23394.17,830159.43,0
Syrian Arab Republic,2019,188461.67,525427.57,0
Turks and Caicos Isl.,2019,2104.48,14355.3,0
Chad,2019,888150.47,965359.29,0
Togo,2019,1096578.61,3344984.7,0
Thailand,2019,88386757.57,263942308.6,0
Tajikistan,2019,242976.37,835970.03,0
Tokelau,2019,3338.19,25688.17,0
Turkmenistan,2019,8765415.55,9930919.65,0
East Timor,2019,63652.13,102308.29,0
Tonga,2019,2853,12623.06,0
Trinidad and Tobago,2019,3311046.06,10312164.1,0
Tunisia,2019,4918177.38,27895682.25,0
Turkey,2019,61363489.9,239461836.5,0
Tuvalu,2019,230.01,12657.09,0
Tanzania,2019,2017246.81,4376616.53,0
Uganda,2019,1240147.58,2614891.66,0
Ukraine,2019,6984839.65,66508440.39,0
United States Minor Outlying I,2019,4680.87,35444.22,0
Unspecified,2019,32254917.62,85471358.84,0
Uruguay,2019,1648935.35,10176680.66,0
United States,2019,596843464.4,1495652571,0
Uzbekistan,2019,9692448.59,13931054.66,0
Holy See,2019,4269.84,7554.09,0
St. Vincent and the Grenadines,2019,11465.97,107949.41,0
Venezuela,2019,20267234.3,22572435.82,0
British Virgin Islands,2019,115617.36,535138.68,0
Vietnam,2019,51620568.99,320712891.8,0
Vanuatu,2019,16254.55,161734.09,0
 World,2019,5340244888,15274571116,0
Wallis and Futura Isl.,2019,517.13,2788.5,0
Samoa,2019,10946.86,31957.73,0
Yemen,2019,1198594.07,1431344.06,0
South Africa,2019,54236602.21,138949306.5,0
"Congo, Dem. Rep.",2019,581117.97,9043693.87,0
Zambia,2019,883943.29,9568680.25,0
Zimbabwe,2019,2089711.68,3294822.45,0
East Asia & Pacific,2019,1365247519,6036211330,0
Europe & Central Asia,2019,1432032345,3397681965,0
Latin America & Caribbean,2019,458132231.8,1151190689,0
Middle East & North Africa,2019,563872994.7,990524555.5,0
North America,2019,820024268.1,1944013695,0
South Asia,2019,70713032.25,444736580,0
Sub-Saharan Africa,2019,223181589.6,431935877.5,0
Aruba,2018,46039.82,316547.73,0
Afghanistan,2018,408280.95,1284631.73,0
Angola,2018,38420023.14,43655947.27,0
Anguila,2018,8757.37,18644.59,0
Albania,2018,1221113.71,4918600.7,0
Andorra,2018,50032.76,206349.69,0
Netherlands Antilles,2018,,,
United Arab Emirates,2018,77525975.31,181635030.9,0.41
Argentina,2018,19998720.32,67619325.96,0
Armenia,2018,549545.41,2238096.3,0
American Samoa,2018,14009.13,56220.37,0
Antarctica,2018,234.56,7723.99,0
Fr. So. Ant. Tr,2018,11484.72,21580.85,0
Antigua and Barbuda,2018,6981.4,295417.02,0
Australia,2018,42734465.13,257759334.4,0
Austria,2018,9575080.31,85867481.26,0
Azerbaijan,2018,31483178.2,32663330.81,0
Br. Antr. Terr,2018,0,6.02,0
Burundi,2018,93229.02,199674.85,0
Belgium,2018,16380824.41,79253211.2,0
Benin,2018,658262.81,1187843.88,0
Bonaire,2018,68149.59,74955.45,0
Burkina Faso,2018,2379684.46,2918961.14,0
Bangladesh,2018,1923065.47,70865272.45,0
Bulgaria,2018,2029817.43,9164808.01,0
Bahrain,2018,1364503.01,11170890.29,0
"Bahamas, The",2018,155569.24,2074424.33,0
Bosnia and Herzegovina,2018,2420473.4,11874600.64,0
Saint Barth√©lemy,2018,2021.69,12947.1,0
Belarus,2018,6483072.97,27671019.18,0
Belize,2018,226502.25,490171.99,0
Bermuda,2018,15754.05,285597.82,0
Bolivia,2018,1910040.6,9527875.01,0
Brazil,2018,66347477.26,266927752.3,0
Barbados,2018,161475.01,327146.34,2.36
Brunei,2018,2174340.26,5330151.93,0
Bhutan,2018,61038.22,386047.99,0
Bunkers,2018,2623.47,8744.02,0
Bouvet Island,2018,94.78,6437.63,0
Botswana,2018,136823.61,7969555.28,0
Central African Republic,2018,5827.96,101572,0
Canada,2018,175506840.4,447948622.4,4739.33
Cocos (Keeling) Islands,2018,871.38,6811.23,0
Switzerland,2018,166693129.2,377200371.1,0
Chile,2018,13544245.43,80987568.78,0
China,2018,403762276.2,2983151869,0
Cote d'Ivoire,2018,2517519.86,15410636.78,0
Cameroon,2018,2684268.79,6096229.24,0
"Congo, Rep.",2018,5043400.36,8256310.69,0
Cook Islands,2018,14881.66,55418.45,0
Colombia,2018,17023157.93,47985049.55,0
Comoros,2018,1931.37,146447.63,0
Cape Verde,2018,12140.86,230442.18,0
Costa Rica,2018,1991733.22,17276267.03,0
Cuba,2018,1126994.52,1652361.92,0
Cura√ßao,2018,479348.58,812246.05,0
Christmas Island,2018,5100.38,9496.93,0
Cayman Islands,2018,19777.59,1981891.99,0
Cyprus,2018,252087.11,851797.75,0
Czech Republic,2018,7319056.35,30983255.69,0
Germany,2018,135813753.5,524817550.1,0
Djibouti,2018,16423.56,68245.48,0
Dominica,2018,50051.85,85950.93,0
Denmark,2018,6347676.35,32421824.01,0
Dominican Republic,2018,3129743.25,10488120.94,2.51
Algeria,2018,26749462.03,60502437.64,0
Ecuador,2018,9932500.24,25777781.5,0
"Egypt, Arab Rep.",2018,13379239.37,35710446.98,0
Eritrea,2018,140725.41,403202.49,0
Western Sahara,2018,361.39,1460.75,0
Spain,2018,24296867.93,81333441.5,0
Estonia,2018,263336.67,3805100.46,0
Ethiopia(excludes Eritrea),2018,475025.12,2857129.72,0
Finland,2018,5439866.4,30102387.84,0
Fiji,2018,174233.25,689131.62,0
Falkland Island,2018,18924.45,85307.98,0
France,2018,50013586.33,215080277.7,0.34
Free Zones,2018,367731.63,2133046.76,0
Faeroe Islands,2018,79856.26,1989680.14,0
"Micronesia, Fed. Sts.",2018,1544.27,40064.4,0
Gabon,2018,4834184.54,5944523.17,0
United Kingdom,2018,85807606.38,203718598.8,0.73
Georgia,2018,813756.26,3011603.32,0
Ghana,2018,12309982.32,19028077.37,0
Gibraltar,2018,96877.83,383615.88,0
Guinea,2018,3573960.25,6462219.21,0
"Gambia, The",2018,8833.58,188262.6,0
Guinea-Bissau,2018,2707.04,148861.57,0
Equatorial Guinea,2018,6041673.69,7735470.99,0
Greece,2018,2720938.4,11749725.79,0
Grenada,2018,7397.68,50446.08,0
Greenland,2018,44902.2,1529876.89,0
Guatemala,2018,2397483.31,12119010.71,0
Guam,2018,4862.38,25131.4,0
Guyana,2018,1060694.93,1549513.18,0
"Hong Kong, China",2018,26411942.35,109996213.2,0
Heard Island and McDonald Isla,2018,52.12,529.26,0
Honduras,2018,664857.26,10195655.3,0
Croatia,2018,1092572.74,4184940.57,0
Haiti,2018,30667.66,1312878.26,0
Hungary,2018,7318909.38,24753997.08,0
Indonesia,2018,38436080.05,200348090.6,0
India,2018,59685965.54,319217520.7,0
British Indian Ocean Ter.,2018,2017.08,9749.9,0
Ireland,2018,28503903.82,77696923.97,0
"Iran, Islamic Rep.",2018,63455692.86,80364869.89,0
Iraq,2018,106143775,107075467.4,0
Iceland,2018,336611.52,9562263.75,0
Israel,2018,11083099,67164692.48,0
Italy,2018,45165948.15,231565152.1,0
Jamaica,2018,1221482.01,1535815.69,0
Jordan,2018,797168.88,6018409.25,0
Japan,2018,219274372.3,803020631.3,0
Kazakhstan,2018,53556121.85,70652845.54,0
Kenya,2018,716589.53,6956477.38,0
Kyrgyz Republic,2018,1532475.05,2244956.12,0
Cambodia,2018,924266.03,26788932.6,0
Kiribati,2018,210.3,39889.17,0
St. Kitts and Nevis,2018,10233.68,109557.73,0
"Korea, Rep.",2018,103555837.5,570734964.3,0
Kuwait,2018,45723364.02,58661525.9,0
Lao PDR,2018,173527.24,2367948.62,0
Lebanon,2018,744406.66,3047935.87,0
Liberia,2018,799383.88,1975248.04,0
Libya,2018,41815181.44,46083373.86,0
St. Lucia,2018,30301.75,68804.77,0
Sri Lanka,2018,938331.81,15392217.43,0
Lesotho,2018,23186.45,1698612.96,0
Lithuania,2018,1743982.2,6616895.82,0
Luxembourg,2018,234431.14,2813769.82,0
Latvia,2018,752665.42,2910610.94,0
Macao,2018,255835.24,1489308.72,0
Morocco,2018,7912056.6,48217930.49,0
Moldova,2018,715887.21,5516974.86,0
Madagascar,2018,273643.67,5340346.94,0
Maldives,2018,7201.49,460009.18,0
Mexico,2018,194241631,490459866.7,0
Marshall Islands,2018,7284.02,899628.37,0
North Macedonia,2018,1819120.76,13999808.72,0
Mali,2018,1783894.37,1901206.7,0
Malta,2018,594951.85,2120955.92,0
Myanmar,2018,1564401.07,15074391.39,0
Mongolia,2018,1163576.78,6233223.75,0
Northern Mariana Islands,2018,87.2,4646.51,0
Montenegro,2018,162902.85,686953.66,0
Mozambique,2018,986817.72,8461339.42,0
Mauritania,2018,462537.85,2212077.11,0
Montserrat,2018,222.42,8611.24,0
Mauritius,2018,429772.87,3340670.61,0
Malawi,2018,1173352.16,1446009.96,0
Malaysia,2018,70906917.48,327241259.2,0
Namibia,2018,1456333.81,7035360.83,0
New Caledonia,2018,48371.55,1968804.02,0
Niger,2018,282429.94,328514.3,0
Norfolk Island,2018,623.72,2804.86,0
Nigeria,2018,69458819.3,83374211.24,0
Nicaragua,2018,947589.09,5904291.46,0
Niue,2018,824.67,132750.03,0
Netherlands,2018,25055344.25,96619878.97,0
Norway,2018,75214314.91,191867931.4,0
Nepal,2018,75539.11,876623.42,0
Nauru,2018,2425.05,27978.92,0
New Zealand,2018,11092345.5,38229146.02,0
"Other Asia, nes",2018,56192764.58,424794469.2,0
Oman,2018,19456874.17,32982907.28,0
Pakistan,2018,6651762.82,33550264.32,0
Panama,2018,1326451.31,4992766.25,0
Pitcairn,2018,605.71,2334.83,0
Peru,2018,13091692.71,55113508.01,0
Philippines,2018,21667189.38,94116905.16,0
Palau,2018,3517.06,28912.42,0
Papua New Guinea,2018,3148511.17,10869237.61,0
Poland,2018,8589756.84,44202446.29,0
"Korea, Dem. Rep.",2018,59440.27,1664988.13,0
Portugal,2018,3295144.66,16791209.62,0
Paraguay,2018,1137879.8,8064999.56,0
Occ.Pal.Terr,2018,25893.7,86316.51,0
French Polynesia,2018,11966.76,208913.38,0
Qatar,2018,17270806.49,75060168.03,0
Romania,2018,2797906.72,17986874.63,0
Russian Federation,2018,217883047.3,505689566.2,0.02
Rwanda,2018,328255.84,613292.95,0
Saudi Arabia,2018,182257682,256396460,0
Senegal,2018,822598.23,3156501.64,0
"Serbia, FR(Serbia/Montenegro)",2018,7339325.52,31770965.71,0
Singapore,2018,48657587.88,245083395.3,0
South Georgia and the South Sa,2018,107.17,584.44,0
Saint Helena,2018,11633.83,38674.84,0
Solomon Islands,2018,27633.42,868203.72,0
Sierra Leone,2018,39849.79,1197391.67,0
El Salvador,2018,855995.24,4819284.89,0
San Marino,2018,169423.8,364388.52,0
Somalia,2018,185097.5,369271.82,0
Special Categories,2018,1983129.89,76199850.98,0
Saint Pierre and Miquelon,2018,4584.81,6637.37,0
South Sudan,2018,1324401.73,1353357.68,0
Sao Tome and Principe,2018,2270.62,22879.9,0
Sudan,2018,4411448.34,5013506.75,0
Suriname,2018,1545185.46,2207115.79,0
Slovak Republic,2018,7362001.2,15310095.8,0
Slovenia,2018,1796705.05,6782003,0
Sweden,2018,14680230.95,55851913.52,0
Eswatini,2018,957552.51,1468792.85,0
Saint Maarten (Dutch part),2018,3914.89,17494.39,0
Seychelles,2018,11063.26,969815.47,0
Syrian Arab Republic,2018,254614.98,42113734.45,0.1
Turks and Caicos Isl.,2018,19134.66,37010.84,0
Chad,2018,2325068.04,2373573.04,0
Togo,2018,1071656.68,1620495.98,0
Thailand,2018,84130912.43,270751958.7,0
Tajikistan,2018,312633.74,1277050.22,0
Tokelau,2018,1796.21,81478.89,0
Turkmenistan,2018,771693.14,8252217.66,0
East Timor,2018,72686.09,102718.36,0
Tonga,2018,1941.21,16058.38,0
Trinidad and Tobago,2018,4124273.68,12131982.03,21.98
Tunisia,2018,3736746.73,28309549.35,0
Turkey,2018,59030508.6,238491143.1,1.38
Tuvalu,2018,52.83,7023.74,0
Tanzania,2018,2870173.71,6084250.35,0
Uganda,2018,786726.05,2797562.95,0
Ukraine,2018,5594854.1,66487690.63,0
United States Minor Outlying I,2018,818.44,12269.69,0
Unspecified,2018,13282961.61,84608108.45,0
Uruguay,2018,1346294.52,11450266.54,0
United States,2018,375533176.2,1721036096,17906.27
Uzbekistan,2018,3571776.27,8405954.56,0
Holy See,2018,376.87,3894.49,0
St. Vincent and the Grenadines,2018,5656.28,72075.67,0
Venezuela,2018,32725561.34,37449741.89,0
British Virgin Islands,2018,12271.06,336002.02,0
Vietnam,2018,28338544.78,300504529.4,0
Vanuatu,2018,16958.04,207114.4,0
 World,2018,4343770986,16072700625,22675.43
Wallis and Futura Isl.,2018,64.49,783.52,0
Samoa,2018,6230.19,27800.79,0
Yemen,2018,1730619.44,2085665.39,0
South Africa,2018,51983190.13,142885038.8,0
"Congo, Dem. Rep.",2018,705817.4,8031739.97,0
Zambia,2018,382181.15,8085542.52,0
Zimbabwe,2018,1622760.76,2901281.41,0
East Asia & Pacific,2018,1108823957,6275946741,0
Europe & Central Asia,2018,1132499757,3531810412,2.47
Latin America & Caribbean,2018,392465388.2,1193475739,26.85
Middle East & North Africa,2018,622012643.4,1144790697,0.51
North America,2018,551055770.6,2169270316,22645.6
South Asia,2018,69751185.41,442032587.3,0
Sub-Saharan Africa,2018,222605629.1,436942232.5,0
Aruba,2017,69024.51,293016.26,24836.76
Afghanistan,2017,126185.13,526148.04,0
Angola,2017,11919986.21,14893597.84,71787.48
Anguila,2017,4303.27,14305.93,0
Albania,2017,1193078.21,3970898.47,25765.35
Andorra,2017,58116.29,163301.42,0.56
United Arab Emirates,2017,47204574.16,119828918.2,11026677.23
Argentina,2017,16017970.87,59345081.76,237169.12
Armenia,2017,469730.6,1781736.86,49.2
American Samoa,2017,5222.85,37960.84,31.73
Antarctica,2017,89.91,3874.07,22.7
Fr. So. Ant. Tr,2017,12544.18,19844.08,13.93
Antigua and Barbuda,2017,9016.39,267790.08,1958.79
Australia,2017,27176778.9,228177508.6,253594.27
Austria,2017,7714305.49,37530238.18,71715.44
Azerbaijan,2017,23761964.94,24927753.61,77759.71
Br. Antr. Terr,2017,,,
Burundi,2017,10557.48,78291.96,0.07
Belgium,2017,16892022.13,72684187.57,3530094.48
Benin,2017,37051.19,442202.49,0.12
Bonaire,2017,157.91,9101.98,9716.98
Burkina Faso,2017,104411.11,2597873.98,4.52
Bangladesh,2017,2313726.04,62260048.01,21124.74
Bulgaria,2017,2492926.9,8000736.73,931639.44
Bahrain,2017,428531.02,4179739.29,1619435.36
"Bahamas, The",2017,149849.82,1453908.22,117965.38
Bosnia and Herzegovina,2017,1866825.16,10214051.4,23095.22
Saint Barth,2017,4288.58,25179.03,12.2
Belarus,2017,5589361,21676815.62,829445.66
Belize,2017,201969.16,449398.65,1.6
Bermuda,2017,25649.17,170376.94,30.45
Bolivia,2017,358527.55,8169391.45,24.8
Brazil,2017,66497276.69,240247628,829799.2
Barbados,2017,117970.17,262523.27,0.13
Brunei,2017,1723188.39,4299737.57,271.84
Bhutan,2017,49561.53,244095.69,0
Bunkers,2017,370.08,4013.48,0.33
Bouvet Island,2017,741.56,1746.19,0
Botswana,2017,17188.35,7302916.62,999.07
Central African Republic,2017,3454.9,76123.86,109.07
Canada,2017,172001460.9,413344837.2,11367273.35
Cocos (Keeling) Islands,2017,259.31,4102.16,0
Switzerland,2017,115251850,370436222.7,792538.38
Chile,2017,28601812.28,75244647.27,33447.25
China,2017,422251520,2661977836,2508114
Cote d'Ivoire,2017,1338673.45,15228006.3,183190.25
Cameroon,2017,2136268.98,5380590.28,38827.3
"Congo, Rep.",2017,5114866.88,5825601.91,55580.21
Cook Islands,2017,9451.69,45363.05,5.88
Colombia,2017,14796900.5,43391042.44,911747.76
Comoros,2017,77.62,102172.56,84.98
Cape Verde,2017,16812.44,173820,2.53
Costa Rica,2017,1931927.83,15504786.4,72.62
Cuba,2017,1200030.55,1543672.22,20966.59
Cura√ßao,2017,458800.2,1069142.11,40101.36
Christmas Island,2017,1087.04,7573.7,0
Cayman Islands,2017,59129.81,1738397.41,12272.59
Cyprus,2017,359072.22,1074026.33,115434.53
Czech Republic,2017,8924748.3,28976729.32,39987.98
Germany,2017,157184610.5,510030867.2,3145796.94
Djibouti,2017,10058.18,78626.93,119.4
Dominica,2017,9179.91,48821.76,1.98
Denmark,2017,6743633.43,30074434.53,478882.35
Dominican Republic,2017,1738795.51,9701716.04,48443.15
Algeria,2017,21039781.26,46135205.79,5478141.02
Ecuador,2017,9637645.18,22693072.76,26846.04
"Egypt, Arab Rep.",2017,9679243.41,28545852.49,622189.23
Eritrea,2017,4854.43,149283.81,0.06
Western Sahara,2017,36.86,1187.65,0.01
Spain,2017,28555741.58,87771896.79,2275081.97
Estonia,2017,312017.46,3452286.38,97092.41
Ethiopia(excludes Eritrea),2017,614191.66,2655252.05,5.87
Finland,2017,4231630.38,26598630.55,757050.72
Fiji,2017,321469.3,952105.67,2807.55
Falkland Island,2017,15821.54,81719.5,0
France,2017,45750313.19,196214792.4,1905150.03
Free Zones,2017,710065.58,2450759.26,47640.11
Faeroe Islands,2017,69906.78,2032336.34,1518.61
"Micronesia, Fed. Sts.",2017,263.93,19115.22,95.2
Gabon,2017,2575772.68,3212917.4,146803.84
United Kingdom,2017,62892459.84,186122748.4,4164144.72
Georgia,2017,492745.19,2720185.21,76439.87
Ghana,2017,1828506.21,11453013.65,5034.4
Gibraltar,2017,92289.82,412119.1,43769.75
Guinea,2017,85804.03,2225712.68,1844.57
"Gambia, The",2017,5188.57,94502.96,28.59
Guinea-Bissau,2017,4932.82,338302.32,0
Equatorial Guinea,2017,3775487.64,4734593.58,26.68
Greece,2017,2201772.19,7506284.05,4054077.85
Grenada,2017,7465.29,48887.67,11.87
Greenland,2017,31375.97,1319817.2,1005.97
Guatemala,2017,2003400.91,10513597.14,24.04
Guam,2017,5602.21,21704.62,241.33
Guyana,2017,362438.22,1605152.44,0.33
"Hong Kong, China",2017,74172061.14,402671124.8,216172.71
Heard Island and McDonald Isla,2017,19.7,1597.8,0
Honduras,2017,980420.2,9913850.54,1.07
Croatia,2017,1259015.5,3492613.31,331766.37
Haiti,2017,14060.47,1171041.07,1.4
Hungary,2017,8476220.89,23337751.42,29972.01
Indonesia,2017,23580054.39,182318609.8,879187.69
India,2017,54414665.61,275249071.4,18783869.17
British Indian Ocean Ter.,2017,1928.28,17166.81,0
Ireland,2017,26951105.45,70785545.66,323220.97
"Iran, Islamic Rep.",2017,42602697.18,49978758.78,138962.09
Iraq,2017,65346679.11,67076685.24,317056.1
Iceland,2017,299574.28,7836160.63,13625.24
Israel,2017,11909931.64,63556121.65,1599962.21
Italy,2017,48101050.91,202003117.7,3601988.09
Jamaica,2017,342399.49,1230137.14,9.38
Jordan,2017,937125.55,7053011.81,615.25
Japan,2017,225711503.5,728803936.6,4418690.08
Kazakhstan,2017,42533811.96,57713594.81,741951.19
Kenya,2017,1552833.44,5105356.88,102113.3
Kyrgyz Republic,2017,400073.34,1419162.66,80896.02
Cambodia,2017,612995.15,22965711.27,551.39
Kiribati,2017,489.5,62887.76,0.04
St. Kitts and Nevis,2017,12580.58,78837.32,0.23
"Korea, Rep.",2017,138567941.2,545381223.9,22485716.86
Kuwait,2017,31697993.36,37154496.84,3559567.05
Lao PDR,2017,178071.65,1497605.84,102.02
Lebanon,2017,468384.64,2151025.71,44.33
Liberia,2017,52222.41,1674513.9,6459.12
Libya,2017,25793751.35,28346484.9,563902.21
St. Lucia,2017,12945.86,53606.83,745.64
Sri Lanka,2017,2085752.94,14292370.01,63900.51
Lesotho,2017,26159.67,1333933.61,17.53
Lithuania,2017,1904099.32,6312017.75,1273596.44
Luxembourg,2017,243840.73,2587204.5,654.84
Latvia,2017,820408.41,2630003.68,6521.12
Macao,2017,287690.83,1384683.75,764.02
Morocco,2017,7529165.02,41423512.85,2034.47
Moldova,2017,804530.84,4572409.1,4891.94
Madagascar,2017,254173.48,4651946.32,452.13
Maldives,2017,5116.33,406680,0.18
Mexico,2017,179396935.9,429906621.5,1512446.51
Marshall Islands,2017,11489.88,980024.79,1693.18
North Macedonia,2017,1537633.26,11674396.82,1883.86
Mali,2017,33871.26,903412.59,3.17
Malta,2017,724107.29,1748346.67,1213.53
Myanmar,2017,2018894.22,13331576.15,278718.46
Mongolia,2017,65691.05,1006118.1,193.6
Northern Mariana Islands,2017,836.58,4026.68,0
Montenegro,2017,144194.4,778025.68,38.62
Mozambique,2017,865072.48,6425144.91,159034.6
Mauritania,2017,127283.62,1282527.56,120.3
Montserrat,2017,1023.42,20653.17,0
Mauritius,2017,644832.5,3246439.2,97.42
Malawi,2017,1041837.29,1252745.35,0
Malaysia,2017,59599322.03,269471633.3,7221671.19
Namibia,2017,2207786.41,5406931.29,26955.05
New Caledonia,2017,14054.45,827415.02,35.78
Niger,2017,10962.7,686524.05,2.31
Norfolk Island,2017,592.18,2237.02,71.21
Nigeria,2017,46738466.97,56934352.73,790701.51
Nicaragua,2017,605309.54,5534568.5,26.58
Niue,2017,584.38,66728.72,0
Netherlands,2017,26138186.52,88230840.22,5112415.42
Norway,2017,65539459.59,160804662.1,4161656.22
Nepal,2017,66479.54,759998.95,36.48
Nauru,2017,2657.2,31635.16,0
New Zealand,2017,9576160.38,36585395.67,51922.73
"Other Asia, nes",2017,45702864.59,270836586,240489.05
Oman,2017,4709723.8,16085753.35,1305904.08
Pakistan,2017,4593063.53,29316594.03,234284.51
Panama,2017,1159141.62,4050382.71,10261.92
Pitcairn,2017,274.03,2297.53,0
Peru,2017,6258677.28,48991053.81,1125665.79
Philippines,2017,15584541.58,68922100.42,17345.57
Palau,2017,1888.29,23039.36,12.88
Papua New Guinea,2017,787066.67,8031902.82,179029.84
Poland,2017,10912954.75,41784464.57,73966.44
"Korea, Dem. Rep.",2017,15077.13,117264.22,691.83
Portugal,2017,2959347.08,13338777.05,863342.01
Paraguay,2017,1010764.83,7537623.19,0.51
Occ.Pal.Terr,2017,25671.81,105508.5,30.97
French Polynesia,2017,9912.64,208786.28,87.67
Qatar,2017,14692892.53,47426448.65,6190341.7
Romania,2017,3392072.71,15401909.87,324798.06
Russian Federation,2017,186382857.4,383170850.2,46473353.42
Rwanda,2017,12649.73,171528.09,0
Saudi Arabia,2017,118495522.8,154404143,10068742
Senegal,2017,125906.81,2046819.18,11999.84
"Serbia, FR(Serbia/Montenegro)",2017,9595045.93,27589958.69,183715.25
Singapore,2017,31445753.81,147319905.3,18823714.69
South Georgia and the South Sa,2017,25.47,222.75,0
Saint Helena,2017,9902.91,29669.72,0
Solomon Islands,2017,1623,314530.54,23.27
Sierra Leone,2017,67217.24,880330.33,3.47
El Salvador,2017,1157353.48,4083945.37,907.79
San Marino,2017,47820.35,200399.04,102.95
Somalia,2017,51942.56,196450.92,0
Special Categories,2017,845125.06,62294506.6,862.76
Saint Pierre and Miquelon,2017,681.29,6166.25,45.92
