Country,Year,MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand)
Uganda,2021,2349192.39,4445162.41,0
Ukraine,2021,10960509.42,93629525.81,0
United States Minor Outlying I,2021,1618.58,23591.6,8.43
Unspecified,2021,24203173.4,81121759.12,0
Uruguay,2021,1600798.91,12057788.26,0
United States,2021,445753436,1573577173,23683.31
Uzbekistan,2021,5623359.32,12800041.56,0
Holy See,2021,481.08,12318.03,0
St. Vincent and the Grenadines,2021,91535.57,155328.98,0
Venezuela,2021,321624.16,3888623.34,0
British Virgin Islands,2021,375341.85,649063.84,0
Vietnam,2021,99506752.15,438960890.4,0
Vanuatu,2021,23411.4,207101.53,0
 World,2021,5557731489,18549562799,31354.2
Wallis and Futura Isl.,2021,121.03,812.21,0
Samoa,2021,8325.05,40475.25,0
Yemen,2021,1229260.24,1635630.75,0
South Africa,2021,50612236.54,172867285.8,2.83
"Congo, Dem. Rep.",2021,900270.42,17456210.2,0
Zambia,2021,1267394.35,9000778.6,0
Zimbabwe,2021,3246847.92,4633409.63,0
East Asia & Pacific,2021,1804396579,7566715174,104.22
Europe & Central Asia,2021,1455009784,4567633092,5914.37
Latin America & Caribbean,2021,419339746.4,1346740296,1632.05
Middle East & North Africa,2021,580907895.5,1117309137,0
North America,2021,643313205,2055952927,23691.96
South Asia,2021,84977241.66,512318955.5,0.05
Sub-Saharan Africa,2021,223461818.9,491599188.1,2.83
Aruba,2020,89504.71,110017.2,0
Afghanistan,2020,1413341.34,2266150.32,0
Angola,2020,20879124.53,24956110.37,0
Anguila,2020,3393.89,34519.43,0
Albania,2020,1989415.95,4148341.92,0
Andorra,2020,46956.53,157792.06,0
United Arab Emirates,2020,92224417.91,186386377.7,0
Argentina,2020,23938596.09,68442252.14,0
Armenia,2020,2440917.3,3225341.59,0
American Samoa,2020,1164.14,17620.75,0
Antarctica,2020,2056.71,10420.17,0
Fr. So. Ant. Tr,2020,1595.49,42314.88,0
Antigua & Barbuda,2020,106196.96,352756.6,0
Australia,2020,105891685,270458411.9,0
Austria,2020,12798500.72,46023744.08,0
Azerbaijan,2020,16917731.1,18528548.21,0
Br. Antr. Terr,2020,0.95,4.64,0
Burundi,2020,167023.98,253125.46,0
Belgium,2020,17428479.58,76643121.29,0
Benin,2020,493872.04,1334221.31,0
Bonaire,2020,10516.27,14644.05,0
Burkina Faso,2020,3930419.43,4311160.89,0
Bangladesh,2020,51822959.89,64182868.9,0
Bulgaria,2020,2400182.72,9119307.56,0
Bahrain,2020,977530.61,10809027.63,0
"Bahamas, The",2020,197027.84,1588257.98,0
Bosnia and Herzegovina,2020,2631045.53,9661973.14,0
Saint Barth√©lemy,2020,1405.46,5464.25,0
Belarus,2020,9966341.52,27278731.45,0
Belize,2020,288053.17,387029.81,0
Bermuda,2020,410527.97,421704.89,0
Bolivia,2020,3904338.79,8069972.78,0
Brazil,2020,90807889.1,256620984.6,0
Barbados,2020,149265.83,283305.56,0
Brunei,2020,1583769.05,6796599.24,0
Bhutan,2020,8981.25,197473.57,0
Bunkers,2020,112084.25,139266.64,0
Bouvet Island,2020,420.2,487.21,0
Botswana,2020,187409.43,5424679.05,0
Central African Republic,2020,22115.18,136903.62,0
Canada,2020,181798790.4,384069804,0
Cocos (Keeling) Islands,2020,1658.94,5663.99,0
Switzerland,2020,146506526.4,393580163.4,0
Chile,2020,35748339.08,79263469.17,0
China,2020,673762864.8,3017194699,0
Cote d'Ivoire,2020,3091389.99,16042036.96,0
Cameroon,2020,3010057.98,6249408.02,0
"Congo, Rep.",2020,4157536.71,7732913.54,0
Cook Islands,2020,19681.27,26238.98,0
Colombia,2020,23552617.37,38700383.46,0
Comoros,2020,28734.04,89130.98,0
Cape Verde,2020,18233.8,175753.57,0
Costa Rica,2020,9467284.41,19326808.65,0
Cuba,2020,1128333.19,1593156.54,0
Cura√ßao,2020,59330.26,299891.76,0
Christmas Island,2020,5693.13,17358.27,0
Cayman Islands,2020,3111079.26,3193881.79,0
Cyprus,2020,231924.14,1354114,0
Czech Republic,2020,9782633.88,31554644.54,0
Germany,2020,139489645,477420786.1,0
Djibouti,2020,13877.85,106948.41,0
Dominica,2020,7763.1,37756.29,0
Denmark,2020,7981652,37757350.55,0
Dominican Republic,2020,4770395.02,10569845.09,0
Algeria,2020,12486871.96,32460704.32,0
Ecuador,2020,15303849.71,26792050.94,0
"Egypt, Arab Rep.",2020,13995702.41,31435170.3,0
Eritrea,2020,527190.3,530337.39,0
Western Sahara,2020,37.5,7458.44,0
Spain,2020,30501221.76,89406611.73,0
Estonia,2020,663921.58,4006686.44,0
Ethiopia(excludes Eritrea),2020,978396.28,3437117.99,0
Finland,2020,5633471.43,26763182.68,0
Fiji,2020,418712.27,677143.9,0
Falkland Island,2020,5177.14,294997.82,0
France,2020,59376546.14,202430536.7,0.34
Free Zones,2020,935679.22,4446519.16,0
Faeroe Islands,2020,155922.88,1792128.22,0
"Micronesia, Fed. Sts.",2020,930.84,19310.3,0
Gabon,2020,4249420,5194592.44,0
United Kingdom,2020,70424829.58,174174004.6,0.43
Georgia,2020,1019936.91,2740873.01,0
Ghana,2020,9607699.21,15335454.89,0
Gibraltar,2020,136186.59,279515.76,0
Guinea,2020,4156677.92,8466305.08,0
"Gambia, The",2020,242652.47,338699.82,0
Guinea-Bissau,2020,9417.82,183445.49,0
Equatorial Guinea,2020,2990958.64,3995318.69,0
Greece,2020,2667193.1,12003918.47,0
Grenada,2020,9336.35,36834.7,0
Greenland,2020,17065.64,2000656.8,0
Guatemala,2020,5705215.14,11842203.58,0
Guam,2020,15008.53,39329.51,0
Guyana,2020,2268349.71,2577951.68,0
"Hong Kong, China",2020,68923400.62,135396956.2,0
Heard Island and McDonald Isla,2020,517.44,776.26,0
Honduras,2020,4597510.19,9270601.58,0
Croatia,2020,896168.68,3406559.07,0
Haiti,2020,898432.04,1057276.18,0
Hungary,2020,8753469.13,24248530.3,0
Indonesia,2020,63182125.93,194376355.3,0
India,2020,74550439.1,307596166.3,0
British Indian,2020,75886.02,89729.03,0
Ireland,2020,32022605.13,88805589.6,0
"Iran, Islamic Rep.",2020,3665933.09,13650072.31,0
Iraq,2020,65513050.4,71216544.75,0
Iceland,2020,425641.02,7026439.82,0
Israel,2020,12516348.79,56187402.18,0
Italy,2020,59568408.91,210350668.1,0
Jamaica,2020,408609.56,1023925.53,0
Jordan,2020,3477736.26,7457803.62,0
Japan,2020,238718377.4,712840041.5,0
Kazakhstan,2020,37694540.47,55455667.75,0
Kenya,2020,2195432.16,7395202.05,0
Kyrgyz Republic,2020,2043264.03,2701601.98,0
Cambodia,2020,16352371.23,29879026.98,0
Kiribati,2020,633.41,29565.11,0
St. Kitts and Nevis,2020,8441.35,63970.79,0
"Korea, Rep.",2020,160014889.4,579098085.8,0
Kuwait,2020,28619572.29,40322036.53,0
Lao PDR,2020,1638970.95,3610794.26,0
Lebanon,2020,2053551.74,4431785.53,0
Liberia,2020,276299.4,1553747.91,0
Libya,2020,11691784.6,13821665.99,0
St. Lucia,2020,68077.97,107314.27,0
Sri Lanka,2020,6967268.78,13679612.28,0
Lesotho,2020,415179.72,1288603.98,0
Lithuania,2020,2672935.98,8478837.17,0
Luxembourg,2020,537461.47,2823676.29,0
Latvia,2020,1166003.47,3326816.9,0
Macao,2020,639062.66,1466445.59,0
Morocco,2020,20764507.91,44962838.09,0
Moldova,2020,1763001.05,4929343.82,0
Madagascar,2020,1233767.45,3740300.5,0
Maldives,2020,6358.87,255098.94,0
Mexico,2020,218872252.7,456560197.3,0
Marshall Islands,2020,548994.4,1259687.81,0
North Macedonia,2020,2830919.47,12538921.5,0
Mali,2020,5143203.98,5359504.89,0
Malta,2020,922306.43,2127368.22,0
Myanmar,2020,10680166.37,19269211.24,0
Mongolia,2020,5199936.14,6147996.29,0
Northern Mariana Islands,2020,3323.34,8533.6,0
Montenegro,2020,143947.16,539245.87,0
Mozambique,2020,2237521.19,6069718.73,0
Mauritania,2020,1108232.09,3498201.09,0
Montserrat,2020,591.93,6540.58,0
Mauritius,2020,1148848.33,2631938.16,0
Malawi,2020,691339.09,945907.93,0
Malaysia,2020,123606990,335463601.9,0
Namibia,2020,1309716.61,5461406.81,0
New Caledonia,2020,9643.47,1886984.05,0
Niger,2020,741060.73,995424.46,0
Norfolk Island,2020,206.9,2390.89,0
Nigeria,2020,42752858.37,53708309.22,0
Nicaragua,2020,3849562.18,5886827.36,0
Niue,2020,400.99,79070.03,0
Netherlands,2020,27267810.77,102922775,0
Norway,2020,53363012.11,128495422.7,0
Nepal,2020,226446.44,937204.12,0
Nauru,2020,2521.46,19558.63,0
New Zealand,2020,28126915.08,39788392.94,0
"Other Asia, nes",2020,166510067.1,446288932.7,0
Oman,2020,15738630.98,31369160.54,0
Pakistan,2020,19744573.3,31362403.53,0
Panama,2020,3248930.95,6046132.24,0
Pitcairn,2020,3947.29,4545.48,0
Peru,2020,29265601.95,49649672.71,0
Philippines,2020,31388266.41,87574904.66,0
Palau,2020,13114.49,14174.61,0
Papua New Guinea,2020,3819054.37,10062989.75,0
Poland,2020,17319091.2,47366309.56,0
"Korea, Dem. Rep.",2020,57459.12,194545.88,0
Portugal,2020,6652476.15,20037955.65,0
Paraguay,2020,3764906.27,8994388.44,0
Occ.Pal.Terr,2020,71812.17,197585.55,0
French Polynesia,2020,11976.95,116052.7,0
Qatar,2020,13560691.21,52738040.05,0
Romania,2020,6565065.65,18844562.45,0
Russian Federation,2020,203912337.9,409154623.6,0
Rwanda,2020,578964.63,844477.43,0
Saudi Arabia,2020,120937478.6,175556920.3,0
Fm Sudan,2020,2.35,4212.32,0
Senegal,2020,1688068.69,4195385.01,0
"Serbia, FR",2020,10187274.76,30356532.78,0
Singapore,2020,67000104.75,254794339.2,0
South Georgia and the South Sa,2020,155.83,234.68,0
Saint Helena,2020,870.18,12164.66,0
Solomon Islands,2020,3165.2,610548.73,0
Sierra Leone,2020,41078.04,857934.76,0
El Salvador,2020,2657445.43,4933935.94,0
